stampm,pressure,dew_point,precipitation,humidity,temperature,wind_bearing,wind_speed,illuminance,pressure_tendency
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594897200.0,1015.7,,0.0,58.0,20.0,,6.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594900800.0,1015.8,,0.0,53.0,21.0,,8.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594904400.0,1015.5,,0.0,52.0,22.0,,10.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594908000.0,1015.2,,0.0,50.0,23.0,,9.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
